,iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
42,COM,Africa,Comoros,3657.0,146.0,4205.406,167.894,869595.0,437.352,20.4,2.963,1.726,1413.89,64.32,0.554
43,COG,Africa,Congo,9564.0,134.0,1733.208,24.284,5518092.0,15.405,19.0,3.402,2.063,4881.406,64.57,0.574
44,CRI,North America,Costa Rica,210447.0,2886.0,41311.796,566.536,5094114.0,96.079,33.6,9.468,5.694,15524.995,80.28,0.81
45,CIV,Africa,Cote d'Ivoire,38923.0,215.0,1475.57,8.151,26378275.0,76.399,18.7,2.933,1.582,3601.006,57.78,0.538
46,HRV,Europe,Croatia,254507.0,5726.0,61995.222,1394.793,4105268.0,73.726,44.0,19.724,13.053,22669.797,78.49,0.851
48,CYP,Europe,Cyprus,41111.0,241.0,46935.777,275.146,875899.0,127.657,37.3,13.416,8.563,32415.132,80.98,0.887
49,CZE,Europe,Czechia,1439019.0,24117.0,134374.957,2252.035,10708982.0,137.176,43.3,19.027,11.58,32605.906,79.38,0.9
50,COD,Africa,Democratic Republic of Congo,27290.0,726.0,304.707,8.106,89561404.0,35.879,17.0,3.02,1.745,808.133,60.68,0.48
51,DNK,Europe,Denmark,224107.0,2398.0,38691.151,414.005,5792203.0,136.52,42.3,19.677,12.325,46682.515,80.9,0.94
52,DJI,Africa,Djibouti,6452.0,63.0,6530.351,63.765,988002.0,41.285,25.4,4.213,2.38,2705.406,67.11,0.524
54,DOM,North America,Dominican Republic,247979.0,3257.0,22859.623,300.242,10847904.0,222.873,27.6,6.981,4.419,14600.861,74.08,0.756
55,ECU,South America,Ecuador,307429.0,16333.0,17424.925,925.746,17643060.0,66.939,28.1,7.104,4.458,10581.936,77.01,0.759
56,EGY,Africa,Egypt,193482.0,11472.0,1890.684,112.103,102334403.0,97.999,25.3,5.159,2.891,10550.206,71.99,0.707
57,SLV,North America,El Salvador,62531.0,1962.0,9640.62,302.488,6486201.0,307.811,27.6,8.273,5.417,7292.458,73.32,0.673
58,GNQ,Africa,Equatorial Guinea,6666.0,100.0,4751.298,71.277,1402985.0,45.194,22.4,2.846,1.752,22604.873,58.74,0.592
59,ERI,Africa,Eritrea,3095.0,7.0,872.709,1.974,3546427.0,44.304,19.3,3.607,2.171,1510.459,66.32,0.459
60,EST,Europe,Estonia,91031.0,758.0,68622.935,571.412,1326539.0,31.033,42.7,19.452,13.491,29481.252,78.74,0.892
61,SWZ,Africa,Eswatini,17267.0,664.0,14883.241,572.333,1160164.0,79.492,21.5,3.163,1.845,7738.975,60.19,0.611
62,ETH,Africa,Ethiopia,181869.0,2602.0,1581.971,22.633,114963583.0,104.957,19.8,3.526,2.063,1729.927,66.6,0.485
67,FJI,Oceania,Fiji,67.0,2.0,74.74,2.231,896444.0,49.562,28.6,6.224,3.284,8702.975,67.44,0.743
68,FIN,Europe,Finland,69497.0,805.0,12542.959,145.288,5540718.0,18.136,42.8,21.228,13.264,40585.721,81.91,0.938
69,FRA,Europe,France,4241973.0,91833.0,62246.764,1347.559,68147687.0,122.578,42.0,19.718,13.079,38605.671,82.66,0.901
70,GAB,Africa,Gabon,17297.0,105.0,7771.39,47.176,2225728.0,7.859,23.1,4.45,2.976,16562.413,66.47,0.703
71,GMB,Africa,Gambia,5122.0,160.0,2119.451,66.207,2416664.0,207.566,17.5,2.339,1.417,1561.767,62.05,0.496
72,GEO,Asia,Georgia,276436.0,3674.0,69296.534,920.992,3989175.0,65.032,38.7,14.864,10.244,9745.079,73.77,0.812
73,DEU,Europe,Germany,2639258.0,74402.0,31500.761,888.022,83783945.0,237.016,46.6,21.453,15.957,45229.245,81.33,0.947
74,GHA,Africa,Ghana,88421.0,705.0,2845.594,22.689,31072945.0,126.719,21.1,3.385,1.948,4227.63,64.07,0.611
76,GRC,Europe,Greece,230317.0,7297.0,22096.878,700.083,10423056.0,83.479,45.3,20.396,14.524,24574.382,82.24,0.888
77,GRD,North America,Grenada,154.0,1.0,1368.658,8.887,112519.0,317.132,29.4,7.304,5.021,13593.877,72.4,0.779
78,GTM,North America,Guatemala,185832.0,6639.0,10372.655,370.572,17915567.0,157.834,22.9,4.694,3.016,7423.808,74.3,0.663
80,GIN,Africa,Guinea,18285.0,106.0,1392.316,8.071,13132792.0,51.755,19.0,3.135,1.733,1998.926,61.6,0.477
81,GNB,Africa,Guinea-Bissau,3518.0,54.0,1787.603,27.439,1967998.0,66.191,19.4,3.002,1.565,1548.675,58.32,0.48
82,GUY,South America,Guyana,9442.0,212.0,12004.185,269.528,786559.0,3.952,26.3,5.305,2.837,7435.047,69.91,0.682
83,HTI,North America,Haiti,12686.0,251.0,1112.56,22.013,11402533.0,398.448,24.3,4.8,2.954,1653.173,64.0,0.51
84,HND,North America,Honduras,180796.0,4402.0,18253.726,444.44,9904608.0,82.805,24.9,4.652,2.883,4541.795,75.27,0.634
86,HUN,Europe,Hungary,539080.0,17628.0,55803.361,1824.779,9660350.0,108.043,43.4,18.577,11.976,26777.561,76.88,0.854
87,ISL,Europe,Iceland,6091.0,29.0,17849.084,84.982,341250.0,3.404,37.3,14.431,9.207,46482.958,82.99,0.949
88,IND,Asia,India,11514331.0,159370.0,8343.692,115.485,1380004385.0,450.419,28.2,5.989,3.414,6426.674,69.66,0.645
89,IDN,Asia,Indonesia,1443853.0,39142.0,5278.714,143.103,273523621.0,145.725,29.3,5.319,3.053,11188.744,71.72,0.718
91,IRN,Asia,Iran,1778645.0,61581.0,21176.122,733.169,83992953.0,49.831,32.4,5.44,3.182,19082.62,76.68,0.783
92,IRQ,Asia,Iraq,779458.0,13896.0,19378.655,345.478,40222503.0,88.125,20.0,3.186,1.957,15663.986,70.6,0.674
93,IRL,Europe,Ireland,228796.0,4566.0,46335.653,924.704,4937796.0,69.874,38.7,13.928,8.678,67335.293,82.3,0.955
95,ISR,Asia,Israel,825562.0,6069.0,95379.596,701.169,8655541.0,402.606,30.6,11.733,7.359,33132.32,82.97,0.919
96,ITA,Europe,Italy,3306711.0,103855.0,54690.887,1717.695,60461828.0,205.859,47.9,23.021,16.24,35220.084,83.51,0.892
97,JAM,North America,Jamaica,33366.0,511.0,11267.878,172.567,2961161.0,266.879,31.4,9.684,6.39,8193.571,74.47,0.734
98,JPN,Asia,Japan,452147.0,8750.0,3574.95,69.183,126476458.0,347.778,48.2,27.049,18.493,39002.223,84.63,0.919
100,JOR,Asia,Jordan,514107.0,5627.0,50387.136,551.497,10203140.0,109.285,23.2,3.81,2.361,8337.49,74.53,0.729
101,KAZ,Asia,Kazakhstan,279220.0,3199.0,14870.552,170.371,18776707.0,6.681,30.6,6.991,4.625,24055.588,73.6,0.825
102,KEN,Africa,Kenya,117535.0,1954.0,2185.831,36.339,53771300.0,87.324,20.0,2.686,1.528,2993.028,66.7,0.601
104,KWT,Asia,Kuwait,215067.0,1202.0,50360.339,281.462,4270563.0,232.128,33.7,2.345,1.114,65530.537,75.49,0.806
105,KGZ,Asia,Kyrgyzstan,87143.0,1485.0,13356.905,227.614,6524191.0,32.333,26.3,4.489,2.882,3393.474,71.45,0.697
107,LVA,Europe,Latvia,95902.0,1801.0,50843.971,954.829,1886202.0,31.212,43.9,19.754,14.136,25063.846,75.29,0.866
108,LBN,Asia,Lebanon,430734.0,5609.0,63107.122,821.778,6825442.0,594.561,31.1,8.514,5.43,13367.565,78.93,0.744
109,LSO,Africa,Lesotho,10530.0,309.0,4915.388,144.241,2142252.0,73.562,22.2,4.506,2.647,2851.153,54.33,0.527
110,LBR,Africa,Liberia,2042.0,85.0,403.743,16.806,5057677.0,49.127,19.2,3.057,1.756,752.788,64.1,0.48
111,LBY,Africa,Libya,149207.0,2435.0,21714.564,354.373,6871287.0,3.623,29.0,4.424,2.816,17881.509,72.91,0.724
113,LTU,Europe,Lithuania,207469.0,3442.0,76211.177,1264.376,2722291.0,45.135,43.5,19.002,13.778,29524.265,75.93,0.882
114,LUX,Europe,Luxembourg,58674.0,705.0,93732.028,1126.241,625976.0,231.447,39.7,14.312,9.842,94277.965,82.25,0.916
116,MDG,Africa,Madagascar,21999.0,338.0,794.445,12.206,27691019.0,43.951,19.6,2.929,1.686,1416.44,67.04,0.528
117,MWI,Africa,Malawi,33045.0,1091.0,1727.396,57.031,19129955.0,197.519,18.1,2.979,1.783,1095.042,64.26,0.483
118,MYS,Asia,Malaysia,328466.0,1223.0,10148.49,37.787,32365998.0,96.254,29.9,6.293,3.407,26808.164,76.16,0.81
119,MDV,Asia,Maldives,22147.0,64.0,40971.839,118.4,540542.0,1454.433,30.6,4.12,2.875,15183.616,78.92,0.74
120,MLI,Africa,Mali,9118.0,366.0,450.253,18.073,20250834.0,15.196,16.4,2.519,1.486,2014.306,59.31,0.434
121,MLT,Europe,Malta,27515.0,363.0,62316.126,822.124,441539.0,1454.037,42.4,19.426,11.324,36513.323,82.53,0.895
123,MRT,Africa,Mauritania,17542.0,445.0,3772.749,95.706,4649660.0,4.289,20.3,3.138,1.792,3597.633,64.92,0.546
